playlist_name,track_name,track_id,artists,album_name,popularity,added_at
Me vs Me 2025,pop,1P9AOBEfNAfKsYAmN5nP6h,skaiwater,pop,47,2025-02-03 06:32:46+00:00
Me vs Me 2025,Me vs Me,3IqTZjUckaNyyoO0aKijph,"Jaeychino, SlimeGetEm",Me vs Me,54,2025-01-03 20:43:23+00:00
Me vs Me 2025,Lifetime,34UJXh0z65NvqCtHA9Qe49,Faye Webster,Underdressed at the Symphony,48,2025-01-05 19:05:01+00:00
Me vs Me 2025,JRJRJR,1mW9XrT9XdnsDPuthSgusZ,Jane Remover,JRJRJR,49,2025-01-03 20:43:35+00:00
Me vs Me 2025,I might say something stupid featuring the 1975 & jon hopkins,2uRHJmdkGIajVibmUv9HDx,"Charli xcx, The 1975, Jon Hopkins",Brat and it’s completely different but also still brat,46,2025-01-03 20:45:03+00:00
Me vs Me 2025,Big Fun Never Ending Nightmare [75 BPM],5mWW2kP2PSkTo2CsCJQZD9,Vegyn,Don't Follow Me Because I'm Lost Too!!,46,2025-01-03 20:45:19+00:00
Me vs Me 2025,Skinny Love - Spotify Singles,58az7rByzBsG2X9MR5wbv3,Japanese Breakfast,Spotify Singles,31,2025-01-03 20:45:34+00:00
Me vs Me 2025,SUPERNOVA,3TDIIZjduqsItwVIp6t4Aa,"Ralphie Choo, ABHIR",SUPERNOVA,40,2025-01-03 20:47:33+00:00
Me vs Me 2025,my side,0gb2gpyunaqZ4A2weVDrX1,Babyxsosa,my side,14,2025-01-09 18:33:07+00:00
Me vs Me 2025,Blow Me,49lw1wkHHnvxhgfxexcNwQ,fakemink,Wild One,46,2025-02-20 23:33:21+00:00
